0,0
295,0
-150,467

0,0
279,0
-176,441

0,0
282,0
-164,450

0,0
287,0
-186,438

0,0
298,0
-153,445

0,0
299,0
-171,422

0,0
287,0
-160,423

0,0
283,0
-149,421

0,0
295,0
-201,391

0,0
314,0
-162,415

0,0
300,0
-195,393

0,0
304,0
-179,410

0,0
285,0
-218,388

0,0
283,0
-195,401

0,0
283,0
-215,382

0,0
283,0
-207,394

0,0
294,0
-164,421

0,0
297,0
-166,416

0,0
297,0
-192,398

0,0
293,0
-163,418

0,0
291,0
-154,412

0,0
282,0
-177,394

0,0
277,0
-209,395

0,0
273,0
-226,379

0,0
270,0
-223,387

0,0
286,0
-203,400

0,0
296,0
-141,437

0,0
294,0
-145,431

0,0
307,0
-203,399

0,0
299,0
-145,449

0,0
314,0
-93,470

0,0
296,0
-64,470

0,0
292,0
-4,472

0,0
283,0
83,480

0,0
293,0
247,481

0,0
286,0
238,489

0,0
295,0
358,480

0,0
287,0
425,451

0,0
292,0
430,460

0,0
295,0
425,454

0,0
299,0
428,457

0,0
303,0
403,475

0,0
299,0
458,452

0,0
314,0
475,441

0,0
298,0
460,431

0,0
291,0
486,425

0,0
286,0
479,424

0,0
283,0
475,426

0,0
296,0
450,436

0,0
295,0
483,413

0,0
291,0
492,408

0,0
301,0
466,424

0,0
296,0
482,405

0,0
305,0
482,410

0,0
300,0
362,467

0,0
307,0
249,458

0,0
294,0
184,451

0,0
288,0
177,414

0,0
276,0
172,411

0,0
286,0
181,411

0,0
293,0
188,411

0,0
293,0
161,408

0,0
299,0
174,420

0,0
286,0
156,418

0,0
279,0
130,427

0,0
287,0
183,423

0,0
285,0
166,425

0,0
282,0
170,433

0,0
288,0
175,428

0,0
301,0
173,424

0,0
297,0
206,434

0,0
303,0
186,435

0,0
286,0
171,435

0,0
285,0
199,436

0,0
298,0
193,429

0,0
292,0
186,429

0,0
293,0
207,426

0,0
282,0
202,428

0,0
283,0
166,430

0,0
277,0
179,438

0,0
293,0
155,436

0,0
302,0
157,434

